"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Car","0","Price Prediction","3","0","Negative - Missing core_car","0"
"0","Business","0","Business User Status","1","0","Negative - Invalid business ID","0"
"0","Main Functions","0","Trade-in App","1","0","Positive - GET /business/trade-in-app/{id}","0"
"0","Auction","0","Daily View Stats","6","0","Negative - Invalid or missing query parameters","0"
"0","Specification","0","Media tools","1","0","Positive - Media tools","0"
"0","Business","0","List Business","1","0","List Business","0"
"0","Specifications","0","Vehicle Options","1","0","Positive - Get vehicle options list","0"
"0","Car","0","Likes","1","0","Positive - Get car like count or top cars","0"
"0","Car","0","Daily View Stats","3","0","Negative: Invalid or non-existing car_id","0"
"0","Car","1","Price Prediction V3","0","0","Positive - Predict car price (v3)","0"
"0","Car","0","Leads Stats","1","0","Negative - Fetch leads stats without token","0"
"0","Car","0","Ad Promotions","1","0","Positive - Get ad promotions list by ID","0"
"0","Car Wash","0","Car Wash Centers","1","0","Negative - Get car wash center with invalid ID=0","0"
"0","Moderation","0","Auction Offers","1","0","Negative - Invalid token returns 401","0"
"0","Moderation","0","Moderation Action","1","0","Negative - Invalid token returns 401","0"
"0","Users","0","User Profile","1","0","Negative - Get profile without authorization","0"
"0","Specification","0","Color","1","0","Positive - Get color list","0"
"0","Car","0","Create Car Post V2","4","0","Negative - Missing required field","0"
"0","Chat","1","Change User Status","0","0","Positive - Change user status","0"
"0","Users","0","Calls","1","0","Negative - Call a user without authorization","0"
"0","Specification","0","Options read","1","0","Negative - Options read","0"
"0","Auth","0","Login","1","0","Admin token - positive case","0"
"0","Auction","0","Deal","5","0","Negative - Invalid query parameters","0"
"0","Specification","0","Options","1","0","Positive - Get options list","0"
"0","Business","0","Business Test Read","1","0","Get business test endpoint","0"
"0","Users","0","Seen List","1","0","Positive - Get seen list","0"
"0","Business","1","Avtosalons","0","0","Get avtosalons list","0"
"0","Car Wash","0","My Orders","1","0","Negative - Get my car wash orders without authorization","0"
"0","Chat","1","Notifications","0","0","Positive - Get notifications","0"
